employee_id,project_id,project_role,contribution,start_date,end_date
cadad437-fa64-499a-8495-062731233477,0eba44c7-0055-405d-9660-c012493be2bf,Machine Learning Engineer,Contributed to Customer Churn Prediction Platform execution.,2023-01-10,2023-10-15
ab4b737e-1705-463e-a9da-d468aa42ae5f,4053e266-b479-4ad6-8fba-b1ce83778d28,Full Stack Developer,Contributed to Cloud Security Monitoring & SIEM Guardrail execution.,2023-01-10,2023-10-15
ab4b737e-1705-463e-a9da-d468aa42ae5f,5b32654a-2864-416c-b3db-67ff0eca36e3,Full Stack Developer,Contributed to Automated Web & API Regression Suite execution.,2023-01-10,2023-10-15
5186ef51-263e-4947-8016-72c4cbbce0ca,f5f44dac-c7a3-4d67-845b-34d0340e1006,Backend Developer,Contributed to Next-Gen Mobile Self-Service App execution.,2023-01-10,2023-10-15
0f1ffef1-9033-46e2-9a7f-7800c5b806b5,f5f44dac-c7a3-4d67-845b-34d0340e1006,Cloud Security Engineer,Contributed to Next-Gen Mobile Self-Service App execution.,2023-01-10,2023-10-15
d9afe184-ae36-4e55-86e4-7ce7e2dc445a,333e2a35-38cc-490b-934d-b8419bfefa38,Mobile Developer,Contributed to Multi-Cloud Infrastructure Automation execution.,2023-01-10,2023-10-15
d9afe184-ae36-4e55-86e4-7ce7e2dc445a,d88b1690-9eed-4b39-aedc-c912b40c1be1,Mobile Developer,Contributed to High-Throughput Microservice Billing API execution.,2023-01-10,2023-10-15
108943a4-5591-4c8e-b49e-a78192d20d9e,5b32654a-2864-416c-b3db-67ff0eca36e3,Product Analyst,Contributed to Automated Web & API Regression Suite execution.,2023-01-10,2023-10-15
1a401d12-1f70-4b5e-b0e1-e17adce507b8,f5f44dac-c7a3-4d67-845b-34d0340e1006,MLOps Engineer,Contributed to Next-Gen Mobile Self-Service App execution.,2023-01-10,2023-10-15
84c779d6-f8c9-4919-8085-aa721f6c8b98,d88b1690-9eed-4b39-aedc-c912b40c1be1,Automation Test Engineer,Contributed to High-Throughput Microservice Billing API execution.,2023-01-10,2023-10-15
e349b2e3-b21a-41cf-9190-51dbb1f85cb5,0eba44c7-0055-405d-9660-c012493be2bf,DevOps Engineer,Contributed to Customer Churn Prediction Platform execution.,2023-01-10,2023-10-15
9971b3bd-707b-48d3-89e0-5a3f73e9a8bb,791b2572-0240-4c17-8346-31669043a87b,Automation Test Engineer,Contributed to Enterprise Knowledge Search with RAG & Vector DB execution.,2023-01-10,2023-10-15
9971b3bd-707b-48d3-89e0-5a3f73e9a8bb,333e2a35-38cc-490b-934d-b8419bfefa38,Automation Test Engineer,Contributed to Multi-Cloud Infrastructure Automation execution.,2023-01-10,2023-10-15
d95c9534-cd43-495c-80f6-b6fcc44c93ce,4053e266-b479-4ad6-8fba-b1ce83778d28,Data Engineer,Contributed to Cloud Security Monitoring & SIEM Guardrail execution.,2023-01-10,2023-10-15
d868370d-82ad-4c4a-857f-7e8339f59841,5b32654a-2864-416c-b3db-67ff0eca36e3,Security Engineer,Contributed to Automated Web & API Regression Suite execution.,2023-01-10,2023-10-15
2a3014fa-df34-4881-a735-57691d546152,4053e266-b479-4ad6-8fba-b1ce83778d28,Product Manager,Contributed to Cloud Security Monitoring & SIEM Guardrail execution.,2023-01-10,2023-10-15
2a3014fa-df34-4881-a735-57691d546152,f5f44dac-c7a3-4d67-845b-34d0340e1006,Product Manager,Contributed to Next-Gen Mobile Self-Service App execution.,2023-01-10,2023-10-15
